id,bureauvote
DBV004751, BUR FKT MANJAKARAY II D S1
DBV004752, BUR FKT MANJAKARAY II D S1
DBV004753, EPP MANJAKARAY S12
DBV004755, BUR FKT MANJAKARAY II D S2
DBV004756, BUR FKT MANJAKARAY II D S2
DBV004757, BUR FKT MANJAKARAY II D S1
DBV004758, BUR FKT MANJAKARAY II C S2
DBV004759, EPP MANJAKARAY S20
DBV004760, BUR FKT ANJANAHARY II A S1
DBV004762, BUR FKT ANJANAHARY II A S3
DBV004767, EPP ANTANIMENA III SALLE 01
DBV004768, EPP ANTANIMENA III SALLE 02 / B
DBV004769, EPP ANTANIMENA III SALLE 01
DBV004770, EPP ANTANIMENA III SALLE 02
DBV004771, EPP ANTANIMENA III SALLE 03 A
DBV004772, EPP ANTANIMENA III SALLE 04 / B
DBV004773, EPP ANTANIMENA III SALLE 04 / B
DBV004774, EPP ANTANIMENA III SALLE 04 / B
DBV004775, EPP ANTANIMENA III SALLE 05 B
DBV004776, CEG ANTANIMENA III SALLE 15
DBV004777, EPP AMPASANISADODA SALLE 01
DBV004778, EPP ANTANIMENA III SALLE 07
DBV004779, EPP ANTANIMENA III SALLE 06
DBV004780, CEG ANTANIMENA III SALLE 16
DBV004781, CEG ANTANIMENA III SALLE 16
DBV004783, EP LES ROSSIGNOLS SALLE2
DBV004801, EPP SOANIERANA I Salle 4B
DBV004802, EPP SOANIERANA I Salle 5B
DBV004804, EPP SOANIERANA I Salle 4B
DBV004807, EPP SOANIERANA I Salle 4B
DBV004808, EPP SOANIERANA I Salle 4B
DBV004809, EPP SOANIERANA I Salle 4B
DBV004811, EPP SOANIERANA I Salle 3 B
DBV004814, EPP SOANIERANA I Salle 3 B
DBV004819, EPP SOANIERANA I Salle 3B
DBV004820, TEFISO MAHAMASINA Salle 7
DBV004823, TEFISO MAHAMASINA Salle 7
DBV004825, TEFISO MAHAMASINA Salle 5
DBV004828, EPP FIADANANA Salle 9
DBV004835, TRANOMPOKONOLONA Salle 9
DBV004837, TRANOMPOKONOLONA Salle 4
DBV004838, TRANOMPOKONOLONA Salle 6
DBV004843, EPP MADERA BV3
DBV004844, EPP MADERA BV3
