id,bureauvote
DBV01003497, EPP AMBODITSIRY S13
DBV01003731, EPP ANOSIPATRANA Salle 6
DBV01003758, EPP ANOSIBE Salle 14
DBV01003759, CEG TSIMBAZAZA Salle 7
DBV01003762, EPP AMBODIAFONTSY SALLE 2
DBV01003764, CEG TSIMBAZAZA Salle 9
DBV01003765, CEG TSIMBAZAZA Salle 6
DBV01003767, CEG TSIMBAZAZA Salle 10
DBV01003768, CEG TSIMBAZAZA Salle 10
DBV01003770, EPP SOANIERANA I Salle 1C
DBV01003772, EPP SOANIERANA I Salle 1C
DBV01003778, EPP ANOSIZATO EST I Salle 1
DBV01003779, EPP ANOSIZATO EST I Salle 1
DBV01003780, EPP ANOSIZATO EST I Salle 6
DBV01003782, EPP ANOSIZATO EST I Salle 6
DBV01003788, EPP ANOSIZATO EST I Salle 9
DBV01003789, EPP ANOSIZATO EST I Salle 9
DBV01003793, EPP ANOSIZATO EST I Salle 8
DBV01003800, EPP AMPAMATANANA SALLE 5B
DBV01003802, EPP AMPAMATANANA SALLE 6B
DBV01003805, CEG ANDRANOMENA SALLE 6
DBV01003806, CEG ANDRANOMENA SALLE 2
DBV01003807, CEG ANDRANOMENA SALLE 4
DBV01003809, CEG ANDRANOMENA SALLE 2
DBV01003818, TRANOM-POKONTANY AMBOHIMIRARY S1
DBV01003819, TRANOM-POKONTANY AMBOHIMIRARY S2
DBV01003823, EPP ANDRAISORO S3
DBV01003824, LYCEE PRIVEE LES BONS AMIS S3
DBV01003827, TRANOM-POKONTANY AMBOHIMIRARY S2
DBV01003828, EPP TSARAHONENANA S6
DBV01003834, TRANOM-POKONTANY AMBOHIMIRARY S4
DBV01003836, EPP TSARAHONENANA S5
DBV01003838, LYCEE TECHNIQUE IAJAKY SALLE N°1
DBV01003839, LYCEE PRIVEE LES BONS AMIS S7
DBV01003840, TRANOM-POKONTANY AMBOHIMIRARY S3
DBV01003841, BUR FKT AMBOHIMIRARY S1
DBV01003843, EPP ANDRAISORO S11
DBV01003844, LYCEE PRIVEE LES BONS AMIS S1
DBV01003848, BUR FKT AMBOHIMIRARY S2
DBV01003849, EPP TSARAHONENANA S3
DBV01003851, TRANOM-POKONTANY AMBOHIMIRARY S4
DBV01003853, LYCEE PRIVEE LES BONS AMIS S2
DBV01003855, FKT ANDRAISORO S17
DBV01003856, LYCEE PRIVEE LES BONS AMIS S7
DBV01003858, LYCEE PRIVEE LES BONS AMIS S5
DBV01003859, FTK ANDRAISORO S18
DBV01003861, EPP TSARAHONENANA S4
DBV01003862, FTK ANDRAISORO S18
DBV01003863, EPP TSARAHONENANA S3
DBV01003865, FTK ANDRAISORO S18
DBV01003867, FKT ANDRAISORO S17
DBV01003868, EPP TSARAHONENANA S6
DBV01003869, EPP ANDRAISORO S7
DBV01003872, FTK ANDRAISORO S18
DBV01003873, ECOLE PRIVEE LE FETICHE S5
DBV01003876, ECOLE PRIVEE LE FETICHE S7
DBV01003877, EPP BETONGOLO SALLE 03
DBV01003880, ASAMA S9
DBV01003881, EPP AMBATOMARO S2
DBV01003884, EPP TSARAHONENANA S2
DBV01003889, EPP AMBODITSIRY S4
DBV01003890, EPP TSARAHONENANA S2
DBV01003895, EPP AMBATOMARO S3
DBV01003896, BUR FKT AMBOHITRANDRIANA SALLE II
DBV01003902, EPP SOAVIMASOANDRO S16
DBV01003906, EPP TSARAHONENANA S2
DBV01003908, EPP SOAVIMASOANDRO S18
DBV01003909, LYCEE PRIVEE LES BONS AMIS S5
DBV01003910, EPP AMBATOMARO S8
DBV01003911, EPP SOAVIMASOANDRO S18
DBV01003913, EPP AMBATOMARO S7
DBV01003914, EPP ANOSIBE Salle 11
DBV01003915, LYCEE PRIVEE LES BONS AMIS S5
DBV01003920, EPP ANOSIZATO EST I Salle 10
DBV01003921, LYCEE PRIVEE LES BONS AMIS S2
DBV01003924, LYCEE PRIVEE LES BONS AMIS S1
DBV01003925, EPP TSARAHONENANA S2
DBV01003927, EPP AMBATOKARANANA S3
DBV01003928, EPP AMBATOKARANANA S5
DBV01003932, EPP AMBATOKARANANA S1
DBV01003933, EPP AMBATOKARANANA S4
DBV01003934, ECOLE PRIVE MILOFO Salle 2
DBV01003935, EPP ANOSIZATO EST I Salle 6
DBV01003941, EPP ANOSIZATO EST I Salle 5
DBV01003943, EPP ANKILIBE Salle 1
DBV01003944, FKT ANDRAISORO S17
DBV01003946, FKT ANDRAISORO S17
DBV01003949, ASAMA S9
DBV01003951, ECOLE PRIVEE LOHARANOSOA SALLE 4
DBV01003954, LYCEE PRIVEE LES BONS AMIS S1
DBV01003955, ECOLE PRIMAIRE MAHATAZANA SALLE VI
DBV01003956, EPP AMPASANDRATSARAHOBY Salle 02
DBV01003958, EPP TSARAHONENANA S6
DBV01003961, EPP AVARADOHA SALLE 03
DBV01003962, EPP TSARAHONENANA S3
DBV01003965, LYCEE PRIVEE LES BONS AMIS S1
DBV01003970, SEKOLY SAINT JEAN BAPTISTE  SALLE 5
DBV01003971, LYCEE PRIVEE LES BONS AMIS S4
DBV01003976, LYCEE PRIVEE LES BONS AMIS S7
DBV01003979, FKT ANDRAISORO S17
DBV01003982, LYCEE PRIVEE LES BONS AMIS S1
DBV01003984, EPP ANDRAISORO S4
DBV01003988, LYCEE PRIVEE LES BONS AMIS S3
DBV01003989, EPP ANDRAISORO S4
DBV01003991, EPP ANDRAISORO S6
DBV01003999, EPP MAHAMASINA EST Salle 2
DBV01004000, CEG ANOSIBE Salle 6
DBV01004002, EPP MAHAMASINA EST Salle 8
DBV01004003, CEG ANOSIBE Salle 6
DBV01004004, EPP MAHAMASINA EST Salle 7
DBV01004007, LYCEE TECHNIQUE ALAROBIA S6
DBV01004009, EPP MAHAMASINA EST Salle 7
DBV01004011, CEG ANOSIBE Salle 6
DBV01004012, LYCEE TECHNIQUE ALAROBIA S7
DBV01004013, EPP MAHAMASINA EST Salle 3
DBV01004014, CEG ANOSIBE Salle 6
DBV01004016, LYCEE TECHNIQUE ALAROBIA S8
