id,bureauvote
DBV004651, EPP ANKADINANDRIANA SALLE 2
DBV004652, AKANY FIVOARANA ANDOHAMANDRY SALLE 1A
DBV004654, EPP AMBOHITSOA  SALLE 4
DBV004655, EPP AMBOHITSOA  SALLE 3
DBV004656, EPP AMBOHITSOA  SALLE 6B
DBV004658, BIRAOM-POKONTANY MORARANO 2AF SALLE 3
DBV004659, TRANO FAMAKIAM-BOKY NY FOKONTANY MORARANO 2AF AMBANY RIHANA SALLE 1 
DBV004660, EPP AMPAMATANANA SALLE 4B
DBV004661, CEG AMBOHIMIANDRA SALLE 2
DBV004663, EPP AMBOHIMITSIMBINA SALLE 3
DBV004664, EPP AMBOHIMITSIMBINA SALLE 2
DBV004665, EPP AMBOHIMITSIMBINA SALLE 4
DBV004666, EPP AMBOHIMITSIMBINA SALLE 3
DBV004667, EPP AMPAMATANANA SALLE 6B
DBV004668, EPP AMPAMATANANA SALLE 6B
DBV004669, EPP AMPAMATANANA SALLE 5B
DBV004677, EPP AMPAMATANANA SALLE 6A
DBV004678, EPP AMPAMATANANA SALLE 3B
DBV004679, EPP AMPAMATANANA SALLE 5A
DBV004680, CEG AMBOHIMIANDRA SALLE 1
DBV004681, EPP AMPAMATANANA SALLE 4B
DBV004682, EPP AMPAMATANANA SALLE 3B
DBV004683, EPP AMPAMATANANA SALLE 7B
DBV004684, EPP AMPAMATANANA SALLE 5A
DBV004685, TRANO FAMAKIAM-BOKY NY FOKONTANY MORARANO 2AF AMBONY RIHANA SALLE 3
DBV004686, EPP MANARINTSOA Salle 05 B
DBV004687, EPP III G HANGAR Salle 01
DBV004688, EPP ANDAVAMAMBA Salle 09 B
DBV004689, EPP MANARINTSOA Salle 01
DBV004690, CEG AMPEFILOHA Salle 01
DBV004691, EPP ANTANIMENA I Salle 01
DBV004692, EPP ANTANIMENA I Salle 01
DBV004693, EPP ANTANIMENA I Salle 01
DBV004694, EPP ANTANIMENA I Salle 01
DBV004695, EPP ANTANIMENA I Salle 01
DBV004696, EPP III G HANGAR Salle 02
DBV004697, EPP ANTANIMENA I Salle 01
DBV004698, EPP ANTANIMENA I Salle 02
DBV004699, EPP ANTANIMENA I Salle 01
DBV004700, EPP ANTANIMENA I Salle 01
DBV004701, EPP III G HANGAR Salle 01
DBV004702, BUR FKT ANKASINA Salle 09
DBV004703, EPP AMBOHIDAHY S4
DBV004706, EPP AMBOHIDAHY S10
DBV004708, EPP NANISANA S11
DBV004709, EPP SOATANIMBARY SALLE 1
DBV004710, EPP NANISANA S5
DBV004711, EPP NANISANA S9
DBV004713, EPP AVARADOHA SALLE 14
DBV004714, EPP AVARADOHA SALLE 14
DBV004715, EPP AVARADOHA SALLE 12
DBV004716, EPP AVARADOHA SALLE 12
DBV004717, EPP AVARADOHA SALLE 11
DBV004718, EPP AVARADOHA SALLE 11
DBV004719, EPP AVARADOHA SALLE 11
DBV004720, EPP AMPANDRANA SALLE 02
DBV004721, EPP AMPANDRANA SALLE 03
DBV004722, EPP ANTAIROKA SALLE 1
DBV004723, LYCEE PRIVEE LES BONS AMIS S4
DBV004727, TRANOM-POKONTANY AMBOHIMIRARY S2
DBV004729, EPP AMBATOKARANANA S6
DBV004730, EPP AMBATOKARANANA S4
DBV004731, CEG NANISANA S6
DBV004733, CEG NANISANA S11
DBV004734, CEG NANISANA S8
DBV004737, CEG NANISANA S16
DBV004740, EPP AMBATOKARANANA S6
DBV004742, CEG NANISANA S11
DBV004743, CEG NANISANA S1
DBV004744, CEG NANISANA S10
DBV004746, CEG NANISANA S14
DBV004747, CEG NANISANA S10
DBV004748, CEG NANISANA S10
