id,bureauvote
DBV01003904, EPP AMBATOMARO S14
DBV01003635, EPP AMBOHITSOA  SALLE 3
DBV01003640, EPP AMBOHIMITSIMBINA SALLE 1
DBV01003642, AKANY FIVOARANA ANDOHAMANDRY SALLE 1B
DBV01003643, EPP AMBOHITSIMELOKA SALLE 2
DBV01003644, EPP MANAKAMBAHINY SALLE 2
DBV01003646, EPP AMBOHIDAHY S11
DBV01003732, EPP ANOSIPATRANA Salle 6
DBV01003733, EPP ANOSIPATRANA Salle 9
DBV01003743, EPP ILANIVATO Salle 9
DBV01003747, EPP ILANIVATO Salle 7
DBV01003753, EPP ANOSIBE Salle 18
DBV01003755, EPP ANOSIBE Salle 15
DBV01003756, EPP ANOSIBE Salle 17
DBV01003963, BUREAU FOKONTANY ANOSIBE O I Salle 1
DBV01003967, CEG ANOSIBE Salle 8
DBV01004093, EPP AMPEFILOHA AMBODIRANO Salle 2
DBV01004103, BUREAU FOKONTANY SALLE2
DBV01004198, CEG TSIMBAZAZA Salle 1
DBV01004207, EPP AMBATOMARO S1
DBV01004217, EPP AMBATOMARO S3
DBV01004224, EPP AMBATOMARO S1
DBV01004255, EPP AMBATOMARO S3
DBV01004261, ECOLE PRIVEE LE FETICHE S1
DBV01004290, EPP AMBATOMARO S15
DBV01004293, EPP AMBOHIMIADANA SALLE 1
DBV01004295, EPP AMBATOMARO S11
DBV01004303, EPP ANDAVAMAMBA Salle 12 A
DBV01004312, EPP AMBOHIDRATRIMO S.4
DBV01004313, EPP AMBOHIDRATRIMO S.4
DBV01004321, EPP AMBOHIDRATRIMO S.4
DBV01004323, EPP AMBOHIDRATRIMO S.4
DBV01004326, BUREAU FOKONTANY SALLE1
DBV01004328, BUREAU FOKONTANY SALLE1
DBV01004330, BUREAU FOKONTANY SALLE3
DBV01004341, BUREAU FOKONTANY SALLE5
DBV01004352, BUREAU FOKONTANY SALLE3
DBV01004354, EPP ANDAVAMAMBA Salle 11 A
DBV01004356, BUREAU FOKONTANY SALLE5
DBV01004360, BUREAU FOKONTANY SALLE1
DBV01004361, EPP ANDAVAMAMBA Salle 13 A
DBV01004368, BUREAU FOKONTANY SALLE1
DBV01004384, EPP AMBATOMARO S9
DBV01004389, EPP ANTSARARAY SALLE4
DBV01004360, BUREAU FOKONTANY SALLE1
DBV01004361, EPP ANDAVAMAMBA Salle 13 A
DBV01004368, BUREAU FOKONTANY SALLE1
DBV01004384, EPP AMBATOMARO S9
DBV01004389, EPP ANTSARARAY SALLE4
DBV01005264, EPP ANTANIMENA II SALLE3
DBV01005278, EPP 67 HA NORD Salle 13
DBV01005281, EPP ANKADIVATO Salle 02
DBV01005289, EPP ANDRAVOAHANGY II SALLE 05
DBV01005297, EPP ANTETEZANA AFOVOANY Salle 02
DBV01005363, EPP ANDOHATAPENAKA Salle 02
DBV01005369, EPP ANDOHATAPENAKA Salle 14 A
DBV01005373, EPP ANDOHATAPENAKA Salle 08 B
DBV01005378, EPP ANDOHATAPENAKA Salle 09
DBV01005380, EPP ANDOHATAPENAKA Salle 08 B
DBV01005386, EPP ANTANIMENA II SALLE2
DBV01005387, EPP ANDOHATAPENAKA Salle 11
DBV01005389, EPP ANTANIMENA Salle 04
DBV01005390, EPP ANTANIMENA  Salle 07
DBV01005392, EPP ANTANIMENA  Salle 01
DBV01005396, EPP ANTANIMENA Salle 04
DBV01005404, BUREAU FOKONTANY ANDRANOVAKY



